Date,Rain_Percent,Cloud_Percent,Sunny_Percent
"April 29, 2019",15,51,36
"April 30, 2019",0,67,67
"May 01, 2019",23,73,50
"May 02, 2019",100,37,14
"May 03, 2019",57,87,30
"May 04, 2019",28,84,56
"May 05, 2019",100,100,0
"May 06, 2019",50,56,6
"April 29, 2020",72,62,10
"April 30, 2020",72,100,28
"May 01, 2020",100,75,25
"May 02, 2020",0,100,0
"May 03, 2020",70,54,16
"May 04, 2020",23,45,22
"May 05, 2020",0,22,22
"May 06, 2020",50,53,3
"April 29, 2021",61,69,8
"April 30, 2021",61,60,1
"May 01, 2021",45,48,3
"May 02, 2021",56,83,27
"May 03, 2021",55,82,27
"May 04, 2021",59,73,14
"May 05, 2021",72,100,28
"May 06, 2021",0,53,53
"April 29, 2022",0,4,96
"April 30, 2022",0,18,82
"May 01, 2022",0,41,59
"May 02, 2022",28,89,61
"May 03, 2022",0,79,21
"May 04, 2022",0,100,0
"May 05, 2022",0,42,58
"May 06, 2022",88,77,23